INFO - 2024-03-13 14:14:28,393 в строке 40 : Folder_object(name='task_4', directory=False, extension='no ext', parents_directory='__pycache__')
INFO - 2024-03-13 14:14:28,394 в строке 40 : Folder_object(name='task_5', directory=False, extension='no ext', parents_directory='__pycache__')
INFO - 2024-03-13 14:14:28,394 в строке 40 : Folder_object(name='task_6', directory=False, extension='no ext', parents_directory='__pycache__')
INFO - 2024-03-13 14:14:28,394 в строке 38 : Folder_object(name='primer', directory=True, extension='no ext', parents_directory='seminar_15')
INFO - 2024-03-13 14:14:28,394 в строке 38 : Folder_object(name='__pycache__', directory=True, extension='no ext', parents_directory='seminar_15')
INFO - 2024-03-13 14:14:28,394 в строке 40 : Folder_object(name='log_task_1', directory=False, extension='log', parents_directory='seminar_15')
INFO - 2024-03-13 14:14:28,394 в строке 40 : Folder_object(name='log_task_2', directory=False, extension='log', parents_directory='seminar_15')
INFO - 2024-03-13 14:14:28,394 в строке 40 : Folder_object(name='log_task_3', directory=False, extension='log', parents_directory='seminar_15')
INFO - 2024-03-13 14:14:28,394 в строке 40 : Folder_object(name='log_task_4', directory=False, extension='log', parents_directory='seminar_15')
INFO - 2024-03-13 14:14:28,394 в строке 40 : Folder_object(name='task_1', directory=False, extension='py', parents_directory='seminar_15')
INFO - 2024-03-13 14:14:28,394 в строке 40 : Folder_object(name='task_2', directory=False, extension='py', parents_directory='seminar_15')
INFO - 2024-03-13 14:14:28,394 в строке 40 : Folder_object(name='task_2_1', directory=False, extension='py', parents_directory='seminar_15')
INFO - 2024-03-13 14:14:28,394 в строке 40 : Folder_object(name='task_3', directory=False, extension='py', parents_directory='seminar_15')
INFO - 2024-03-13 14:14:28,394 в строке 40 : Folder_object(name='task_4', directory=False, extension='py', parents_directory='seminar_15')
INFO - 2024-03-13 14:14:28,394 в строке 40 : Folder_object(name='task_5', directory=False, extension='py', parents_directory='seminar_15')
INFO - 2024-03-13 14:14:28,394 в строке 40 : Folder_object(name='task_6', directory=False, extension='py', parents_directory='seminar_15')
INFO - 2024-03-13 14:14:28,394 в строке 40 : Folder_object(name='task_7', directory=False, extension='py', parents_directory='seminar_15')
INFO - 2024-03-13 14:14:28,394 в строке 38 : Folder_object(name='Log', directory=True, extension='no ext', parents_directory='primer')
INFO - 2024-03-13 14:14:28,394 в строке 40 : Folder_object(name='task_1', directory=False, extension='py', parents_directory='primer')
INFO - 2024-03-13 14:14:28,394 в строке 40 : Folder_object(name='task_2', directory=False, extension='py', parents_directory='primer')
INFO - 2024-03-13 14:14:28,394 в строке 40 : Folder_object(name='task_3', directory=False, extension='py', parents_directory='primer')
INFO - 2024-03-13 14:14:28,394 в строке 40 : Folder_object(name='task_4', directory=False, extension='py', parents_directory='primer')
INFO - 2024-03-13 14:14:28,394 в строке 40 : Folder_object(name='task_5', directory=False, extension='py', parents_directory='primer')
INFO - 2024-03-13 14:14:28,394 в строке 40 : Folder_object(name='task_6', directory=False, extension='py', parents_directory='primer')
INFO - 2024-03-13 14:14:28,394 в строке 40 : Folder_object(name='log_1', directory=False, extension='log', parents_directory='Log')
INFO - 2024-03-13 14:14:28,395 в строке 40 : Folder_object(name='task_4', directory=False, extension='no ext', parents_directory='__pycache__')
INFO - 2024-03-13 14:14:28,395 в строке 40 : Folder_object(name='task_1', directory=False, extension='py', parents_directory='seminar_2')
INFO - 2024-03-13 14:14:28,395 в строке 40 : Folder_object(name='task_2', directory=False, extension='py', parents_directory='seminar_2')
INFO - 2024-03-13 14:14:28,395 в строке 40 : Folder_object(name='task_3', directory=False, extension='py', parents_directory='seminar_2')
INFO - 2024-03-13 14:14:28,395 в строке 40 : Folder_object(name='task_4', directory=False, extension='py', parents_directory='seminar_2')
INFO - 2024-03-13 14:14:28,395 в строке 40 : Folder_object(name='task_5', directory=False, extension='py', parents_directory='seminar_2')
INFO - 2024-03-13 14:14:28,395 в строке 40 : Folder_object(name='task_6', directory=False, extension='py', parents_directory='seminar_2')
INFO - 2024-03-13 14:14:28,395 в строке 40 : Folder_object(name='task_1', directory=False, extension='py', parents_directory='seminar_3')
INFO - 2024-03-13 14:14:28,395 в строке 40 : Folder_object(name='task_2', directory=False, extension='py', parents_directory='seminar_3')
INFO - 2024-03-13 14:14:28,395 в строке 40 : Folder_object(name='task_3', directory=False, extension='py', parents_directory='seminar_3')
INFO - 2024-03-13 14:14:28,395 в строке 40 : Folder_object(name='task_4', directory=False, extension='py', parents_directory='seminar_3')
INFO - 2024-03-13 14:14:28,395 в строке 40 : Folder_object(name='task_5', directory=False, extension='py', parents_directory='seminar_3')
INFO - 2024-03-13 14:14:28,395 в строке 40 : Folder_object(name='task_6', directory=False, extension='py', parents_directory='seminar_3')
INFO - 2024-03-13 14:14:28,395 в строке 40 : Folder_object(name='task_7', directory=False, extension='py', parents_directory='seminar_3')
INFO - 2024-03-13 14:14:28,395 в строке 40 : Folder_object(name='task_8', directory=False, extension='py', parents_directory='seminar_3')
INFO - 2024-03-13 14:14:28,395 в строке 40 : Folder_object(name='task_1', directory=False, extension='py', parents_directory='seminar_4')
INFO - 2024-03-13 14:14:28,395 в строке 40 : Folder_object(name='task_2', directory=False, extension='py', parents_directory='seminar_4')
INFO - 2024-03-13 14:14:28,395 в строке 40 : Folder_object(name='task_3', directory=False, extension='py', parents_directory='seminar_4')
INFO - 2024-03-13 14:14:28,395 в строке 40 : Folder_object(name='task_4', directory=False, extension='py', parents_directory='seminar_4')
INFO - 2024-03-13 14:14:28,395 в строке 40 : Folder_object(name='task_5', directory=False, extension='py', parents_directory='seminar_4')
INFO - 2024-03-13 14:14:28,395 в строке 40 : Folder_object(name='task_6', directory=False, extension='py', parents_directory='seminar_4')
INFO - 2024-03-13 14:14:28,395 в строке 40 : Folder_object(name='task_7', directory=False, extension='py', parents_directory='seminar_4')
